,ds,y
524,2022-08-01,96.2
525,2022-09-01,96.3
526,2022-10-01,96.3
527,2022-11-01,96.4
528,2022-12-01,96.4
529,2023-01-01,96.4
530,2023-02-01,96.4
531,2023-03-01,96.4
532,2023-04-01,96.4
533,2023-05-01,96.4
534,2023-06-01,96.4
535,2023-07-01,
