Month,Year,LA_Births
1996-06-01,1996,6895
1996-07-01,1996,7148
1996-08-01,1996,7026
1996-09-01,1996,6791
1996-10-01,1996,6930
1996-11-01,1996,6232
1996-12-01,1996,6533
1996-01-01,1996,6268
1996-02-01,1996,6112
1996-03-01,1996,6531
1996-04-01,1996,6706
1996-05-01,1996,7104
1996-06-01,1996,6895
1996-07-01,1996,7148
1996-08-01,1996,7026
1996-09-01,1996,6791
1996-10-01,1996,6930
1996-11-01,1996,6232
1996-12-01,1996,6533
1996-01-01,1996,6268
1996-02-01,1996,6112
1996-03-01,1996,6531
1996-04-01,1996,6706
1996-05-01,1996,7104
1996-06-01,1996,6895
1996-07-01,1996,7148
1996-08-01,1996,7026
1996-09-01,1996,6791
1996-10-01,1996,6930
1996-11-01,1996,6232
1996-12-01,1996,6533
1996-01-01,1996,6268
1996-02-01,1996,6112
1996-03-01,1996,6531
1996-04-01,1996,6706
1996-05-01,1996,7104
1996-06-01,1996,6895
1996-07-01,1996,7148
1996-08-01,1996,7026
1996-09-01,1996,6791
1996-10-01,1996,6930
1996-11-01,1996,6232
1996-12-01,1996,6533
1996-01-01,1996,6268
1996-02-01,1996,6112
1996-03-01,1996,6531
1996-04-01,1996,6706
1996-05-01,1996,7104
1996-06-01,1996,6895
1996-07-01,1996,7148
1996-08-01,1996,7026
1996-09-01,1996,6791
1996-10-01,1996,6930
1996-11-01,1996,6232
1996-12-01,1996,6533
1996-01-01,1996,6268
1996-02-01,1996,6112
1996-03-01,1996,6531
1996-04-01,1996,6706
1996-05-01,1996,7104
1996-06-01,1996,6895
1996-07-01,1996,7148
1996-08-01,1996,7026
1996-09-01,1996,6791
1996-10-01,1996,6930
1996-11-01,1996,6232
1996-12-01,1996,6533
1996-01-01,1996,6268
1996-02-01,1996,6112
1996-03-01,1996,6531
1996-04-01,1996,6706
1996-05-01,1996,7104
1996-06-01,1996,6895
1996-07-01,1996,7148
1996-08-01,1996,7026
1996-09-01,1996,6791
1996-10-01,1996,6930
1996-11-01,1996,6232
1996-12-01,1996,6533
1996-01-01,1996,6268
1996-02-01,1996,6112
1996-03-01,1996,6531
1996-04-01,1996,6706
1996-05-01,1996,7104
1996-06-01,1996,6895
1996-07-01,1996,7148
1996-08-01,1996,7026
1996-09-01,1996,6791
1996-10-01,1996,6930
1996-11-01,1996,6232
1996-12-01,1996,6533
1996-01-01,1996,6268
1996-02-01,1996,6112
1996-03-01,1996,6531
1996-04-01,1996,6706
1996-05-01,1996,7104
1996-06-01,1996,6895
1996-07-01,1996,7148
1996-08-01,1996,7026
1996-09-01,1996,6791
1996-10-01,1996,6930
1996-11-01,1996,6232
1996-12-01,1996,6533
1997-01-01,1997,6355
1997-02-01,1997,5928
1997-03-01,1997,6686
1997-04-01,1997,6717
1997-05-01,1997,7075
1997-06-01,1997,6906
1997-07-01,1997,7272
1997-08-01,1997,7063
1997-09-01,1997,6921
1997-10-01,1997,6773
1997-11-01,1997,6215
1997-12-01,1997,6453
1997-01-01,1997,6355
1997-02-01,1997,5928
1997-03-01,1997,6686
1997-04-01,1997,6717
1997-05-01,1997,7075
1997-06-01,1997,6906
1997-07-01,1997,7272
1997-08-01,1997,7063
1997-09-01,1997,6921
1997-10-01,1997,6773
1997-11-01,1997,6215
1997-12-01,1997,6453
1997-01-01,1997,6355
1997-02-01,1997,5928
1997-03-01,1997,6686
1997-04-01,1997,6717
1997-05-01,1997,7075
1997-06-01,1997,6906
1997-07-01,1997,7272
1997-08-01,1997,7063
1997-09-01,1997,6921
1997-10-01,1997,6773
1997-11-01,1997,6215
1997-12-01,1997,6453
1997-01-01,1997,6355
1997-02-01,1997,5928
1997-03-01,1997,6686
1997-04-01,1997,6717
1997-05-01,1997,7075
1997-06-01,1997,6906
1997-07-01,1997,7272
1997-08-01,1997,7063
1997-09-01,1997,6921
1997-10-01,1997,6773
1997-11-01,1997,6215
1997-12-01,1997,6453
1997-01-01,1997,6355
1997-02-01,1997,5928
1997-03-01,1997,6686
1997-04-01,1997,6717
1997-05-01,1997,7075
1997-06-01,1997,6906
1997-07-01,1997,7272
1997-08-01,1997,7063
1997-09-01,1997,6921
1997-10-01,1997,6773
1997-11-01,1997,6215
1997-12-01,1997,6453
1997-01-01,1997,6355
1997-02-01,1997,5928
1997-03-01,1997,6686
1997-04-01,1997,6717
1997-05-01,1997,7075
1997-06-01,1997,6906
1997-07-01,1997,7272
1997-08-01,1997,7063
1997-09-01,1997,6921
1997-10-01,1997,6773
1997-11-01,1997,6215
1997-12-01,1997,6453
1997-01-01,1997,6355
1997-02-01,1997,5928
1997-03-01,1997,6686
1997-04-01,1997,6717
1997-05-01,1997,7075
1997-06-01,1997,6906
1997-07-01,1997,7272
1997-08-01,1997,7063
1997-09-01,1997,6921
